author,rank,scrapy_date,text,url
Albert Einstein,0,,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,http://quotes.toscrape.com/
J.K. Rowling,1,,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",http://quotes.toscrape.com/
Albert Einstein,2,,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,http://quotes.toscrape.com/
Jane Austen,3,,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",http://quotes.toscrape.com/
Marilyn Monroe,4,,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",http://quotes.toscrape.com/
Albert Einstein,5,,“Try not to become a man of success. Rather become a man of value.”,http://quotes.toscrape.com/
André Gide,6,,“It is better to be hated for what you are than to be loved for what you are not.”,http://quotes.toscrape.com/
Thomas A. Edison,7,,"“I have not failed. I've just found 10,000 ways that won't work.”",http://quotes.toscrape.com/
Eleanor Roosevelt,8,,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,http://quotes.toscrape.com/
Steve Martin,9,,"“A day without sunshine is like, you know, night.”",http://quotes.toscrape.com/
Marilyn Monroe,0,,"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",http://quotes.toscrape.com/page/2/
J.K. Rowling,1,,"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”",http://quotes.toscrape.com/page/2/
Albert Einstein,2,,"“If you can't explain it to a six year old, you don't understand it yourself.”",http://quotes.toscrape.com/page/2/
Bob Marley,3,,"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”",http://quotes.toscrape.com/page/2/
Dr. Seuss,4,,"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”",http://quotes.toscrape.com/page/2/
Douglas Adams,5,,"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”",http://quotes.toscrape.com/page/2/
Elie Wiesel,6,,"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",http://quotes.toscrape.com/page/2/
Friedrich Nietzsche,7,,"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",http://quotes.toscrape.com/page/2/
Mark Twain,8,,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",http://quotes.toscrape.com/page/2/
Allen Saunders,9,,“Life is what happens to us while we are making other plans.”,http://quotes.toscrape.com/page/2/
Pablo Neruda,0,,"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",http://quotes.toscrape.com/page/3/
Ralph Waldo Emerson,1,,“For every minute you are angry you lose sixty seconds of happiness.”,http://quotes.toscrape.com/page/3/
Mother Teresa,2,,"“If you judge people, you have no time to love them.”",http://quotes.toscrape.com/page/3/
Garrison Keillor,3,,“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,http://quotes.toscrape.com/page/3/
Jim Henson,4,,“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,http://quotes.toscrape.com/page/3/
Dr. Seuss,5,,"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”",http://quotes.toscrape.com/page/3/
Albert Einstein,6,,"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”",http://quotes.toscrape.com/page/3/
J.K. Rowling,7,,"“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”",http://quotes.toscrape.com/page/3/
Albert Einstein,8,,“Logic will get you from A to Z; imagination will get you everywhere.”,http://quotes.toscrape.com/page/3/
Bob Marley,9,,"“One good thing about music, when it hits you, you feel no pain.”",http://quotes.toscrape.com/page/3/
Dr. Seuss,0,,"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”",http://quotes.toscrape.com/page/4/
J.K. Rowling,1,,"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”",http://quotes.toscrape.com/page/4/
Bob Marley,2,,"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",http://quotes.toscrape.com/page/4/
Mother Teresa,3,,“Not all of us can do great things. But we can do small things with great love.”,http://quotes.toscrape.com/page/4/
J.K. Rowling,4,,"“To the well-organized mind, death is but the next great adventure.”",http://quotes.toscrape.com/page/4/
Charles M. Schulz,5,,“All you need is love. But a little chocolate now and then doesn't hurt.”,http://quotes.toscrape.com/page/4/
William Nicholson,6,,“We read to know we're not alone.”,http://quotes.toscrape.com/page/4/
Albert Einstein,7,,“Any fool can know. The point is to understand.”,http://quotes.toscrape.com/page/4/
Jorge Luis Borges,8,,“I have always imagined that Paradise will be a kind of library.”,http://quotes.toscrape.com/page/4/
George Eliot,9,,“It is never too late to be what you might have been.”,http://quotes.toscrape.com/page/4/
George R.R. Martin,0,,"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”",http://quotes.toscrape.com/page/5/
C.S. Lewis,1,,“You can never get a cup of tea large enough or a book long enough to suit me.”,http://quotes.toscrape.com/page/5/
Marilyn Monroe,2,,“You believe lies so you eventually learn to trust no one but yourself.”,http://quotes.toscrape.com/page/5/
Marilyn Monroe,3,,"“If you can make a woman laugh, you can make her do anything.”",http://quotes.toscrape.com/page/5/
Albert Einstein,4,,"“Life is like riding a bicycle. To keep your balance, you must keep moving.”",http://quotes.toscrape.com/page/5/
Marilyn Monroe,5,,“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”,http://quotes.toscrape.com/page/5/
Marilyn Monroe,6,,"“A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”",http://quotes.toscrape.com/page/5/
Martin Luther King Jr.,7,,“Only in the darkness can you see the stars.”,http://quotes.toscrape.com/page/5/
J.K. Rowling,8,,"“It matters not what someone is born, but what they grow to be.”",http://quotes.toscrape.com/page/5/
James Baldwin,9,,"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”",http://quotes.toscrape.com/page/5/
Jane Austen,0,,"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",http://quotes.toscrape.com/page/6/
Eleanor Roosevelt,1,,“Do one thing every day that scares you.”,http://quotes.toscrape.com/page/6/
Marilyn Monroe,2,,"“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”",http://quotes.toscrape.com/page/6/
Albert Einstein,3,,"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”",http://quotes.toscrape.com/page/6/
Haruki Murakami,4,,"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”",http://quotes.toscrape.com/page/6/
Alexandre Dumas fils,5,,“The difference between genius and stupidity is: genius has its limits.”,http://quotes.toscrape.com/page/6/
Stephenie Meyer,6,,"“He's like a drug for you, Bella.”",http://quotes.toscrape.com/page/6/
Ernest Hemingway,7,,“There is no friend as loyal as a book.”,http://quotes.toscrape.com/page/6/
Helen Keller,8,,"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",http://quotes.toscrape.com/page/6/
George Bernard Shaw,9,,“Life isn't about finding yourself. Life is about creating yourself.”,http://quotes.toscrape.com/page/6/
Charles Bukowski,0,,"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”",http://quotes.toscrape.com/page/7/
Suzanne Collins,1,,“You don’t forget the face of the person who was your last hope.”,http://quotes.toscrape.com/page/7/
Suzanne Collins,2,,"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”",http://quotes.toscrape.com/page/7/
C.S. Lewis,3,,"“To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”",http://quotes.toscrape.com/page/7/
J.R.R. Tolkien,4,,“Not all those who wander are lost.”,http://quotes.toscrape.com/page/7/
J.K. Rowling,5,,"“Do not pity the dead, Harry. Pity the living, and, above all those who live without love.”",http://quotes.toscrape.com/page/7/
Ernest Hemingway,6,,“There is nothing to writing. All you do is sit down at a typewriter and bleed.”,http://quotes.toscrape.com/page/7/
Ralph Waldo Emerson,7,,“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”,http://quotes.toscrape.com/page/7/
Mark Twain,8,,“I have never let my schooling interfere with my education.”,http://quotes.toscrape.com/page/7/
Dr. Seuss,9,,“I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!”,http://quotes.toscrape.com/page/7/
Alfred Tennyson,0,,“If I had a flower for every time I thought of you...I could walk through my garden forever.”,http://quotes.toscrape.com/page/8/
Charles Bukowski,1,,“Some people never go crazy. What truly horrible lives they must lead.”,http://quotes.toscrape.com/page/8/
Terry Pratchett,2,,"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”",http://quotes.toscrape.com/page/8/
Dr. Seuss,3,,"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”",http://quotes.toscrape.com/page/8/
J.D. Salinger,4,,"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”",http://quotes.toscrape.com/page/8/
George Carlin,5,,“The reason I talk to myself is because I’m the only one whose answers I accept.”,http://quotes.toscrape.com/page/8/
John Lennon,6,,"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”",http://quotes.toscrape.com/page/8/
W.C. Fields,7,,“I am free of all prejudice. I hate everyone equally. ”,http://quotes.toscrape.com/page/8/
Ayn Rand,8,,“The question isn't who is going to let me; it's who is going to stop me.”,http://quotes.toscrape.com/page/8/
Mark Twain,9,,“′Classic′ - a book which people praise and don't read.”,http://quotes.toscrape.com/page/8/
Albert Einstein,0,,“Anyone who has never made a mistake has never tried anything new.”,http://quotes.toscrape.com/page/9/
Jane Austen,1,,"“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”",http://quotes.toscrape.com/page/9/
J.K. Rowling,2,,"“Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.”",http://quotes.toscrape.com/page/9/
Jane Austen,3,,"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”",http://quotes.toscrape.com/page/9/
Jane Austen,4,,"“There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.”",http://quotes.toscrape.com/page/9/
C.S. Lewis,5,,“Some day you will be old enough to start reading fairy tales again.”,http://quotes.toscrape.com/page/9/
C.S. Lewis,6,,“We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.”,http://quotes.toscrape.com/page/9/
Mark Twain,7,,“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”,http://quotes.toscrape.com/page/9/
Mark Twain,8,,“A lie can travel half way around the world while the truth is putting on its shoes.”,http://quotes.toscrape.com/page/9/
C.S. Lewis,9,,"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”",http://quotes.toscrape.com/page/9/
J.K. Rowling,0,,"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",http://quotes.toscrape.com/page/10/
Jimi Hendrix,1,,"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",http://quotes.toscrape.com/page/10/
J.M. Barrie,2,,“To die will be an awfully big adventure.”,http://quotes.toscrape.com/page/10/
E.E. Cummings,3,,“It takes courage to grow up and become who you really are.”,http://quotes.toscrape.com/page/10/
Khaled Hosseini,4,,“But better to get hurt by the truth than comforted with a lie.”,http://quotes.toscrape.com/page/10/
Harper Lee,5,,“You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”,http://quotes.toscrape.com/page/10/
Madeleine L'Engle,6,,"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”",http://quotes.toscrape.com/page/10/
Mark Twain,7,,“Never tell the truth to people who are not worthy of it.”,http://quotes.toscrape.com/page/10/
Dr. Seuss,8,,"“A person's a person, no matter how small.”",http://quotes.toscrape.com/page/10/
George R.R. Martin,9,,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",http://quotes.toscrape.com/page/10/
author,rank,scrapy_date,text,url
Albert Einstein,0,2019-11-09T16:08:39.717431,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,http://quotes.toscrape.com/
J.K. Rowling,1,2019-11-09T16:08:39.721429,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",http://quotes.toscrape.com/
Albert Einstein,2,2019-11-09T16:08:39.723427,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,http://quotes.toscrape.com/
Jane Austen,3,2019-11-09T16:08:39.726430,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",http://quotes.toscrape.com/
Marilyn Monroe,4,2019-11-09T16:08:39.729425,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",http://quotes.toscrape.com/
Albert Einstein,5,2019-11-09T16:08:39.733422,“Try not to become a man of success. Rather become a man of value.”,http://quotes.toscrape.com/
André Gide,6,2019-11-09T16:08:39.735421,“It is better to be hated for what you are than to be loved for what you are not.”,http://quotes.toscrape.com/
